0.000000,3.735083,AMin7
3.735083,7.463670,GMaj7
7.463670,11.224736,DbMin7
11.224736,18.551994,AMin7
18.551994,22.280581,GMaj7
22.280581,25.944210,DbMin7
25.944210,29.646814,AMin7
29.646814,33.414376,Ab7
33.414376,37.123476,AMaj7
37.123476,40.865054,Ab7
40.865054,44.583226,AMaj7
44.583226,48.395905,GbMin7
48.395905,52.159424,DbMin7
52.159424,55.961180,GbMin7
55.961180,59.768397,DbMin7
59.768397,63.575614,BMin7
63.575614,67.279048,CMaj7
67.279048,71.026180,BMin7
71.026180,74.795162,GbMin7
74.795162,78.536832,DMin7
78.536832,82.245728,Db7
82.245728,85.998322,BbMaj7
85.998322,89.827389,A7
89.827389,93.623681,GMin7
93.623681,97.332578,FMaj7
97.332578,101.014162,GMin7
101.014162,104.766757,FMaj7
104.766757,108.502964,GbMaj7
108.502964,112.250097,A7
112.250097,116.035465,GMin7
116.035465,119.766210,Eb7
