0.000000,0.729001,Gb7
0.729001,1.449811,AbMin7
1.449811,2.105093,AMaj7
2.105093,4.292096,Bb7
4.292096,5.692760,FMin7
5.692760,6.380806,Gb7
6.380806,7.077043,AbMin7
7.077043,7.748707,AMaj7
7.748707,9.223091,Bb7
9.223091,9.919328,BbMin7
9.919328,11.311801,BMaj7
11.311801,12.040802,Gb7
12.040802,12.737039,AbMin7
12.737039,13.441467,AMaj7
13.441467,15.603897,Bb7
15.603897,16.676921,FMin7
16.676921,19.527396,EMaj7
19.527396,22.615412,C7
22.615412,23.328031,Gb7
23.328031,24.040650,AbMin7
24.040650,24.704122,AMaj7
24.704122,26.866552,Bb7
26.866552,28.275408,FMin7
28.275408,28.979836,Gb7
28.979836,29.659691,AbMin7
29.659691,30.347737,AMaj7
30.347737,31.822121,Bb7
31.822121,32.534739,BbMin7
32.542930,33.919022,BMaj7
33.919022,34.623450,Gb7
34.623450,35.327878,AbMin7
35.327878,36.048688,AMaj7
36.048688,38.219309,Bb7
38.219309,39.243186,EMin7
39.243186,42.077280,EMaj7
42.077280,45.230824,C7
