0.000000,0.729001,Ab7
0.729001,1.449811,BbMin7
1.449811,2.105093,BMaj7
2.105093,4.292096,C7
4.292096,5.692760,AMin7
5.692760,6.380806,Ab7
6.380806,7.077043,GbMin7
7.077043,7.748707,BMaj7
7.748707,9.223091,C7
9.223091,9.919328,CMin7
9.919328,11.311801,DbMaj7
11.311801,12.040802,Ab7
12.040802,12.737039,BbMin7
12.737039,13.441467,BMaj7
13.441467,15.603897,C7
15.603897,16.676921,GMin7
16.676921,19.527396,GbMaj7
19.527396,22.615412,D7
22.615412,23.328031,Ab7
23.328031,24.040650,BbMin7
24.040650,24.704122,BMaj7
24.704122,26.866552,C7
26.866552,28.275408,GMin7
28.275408,28.979836,Ab7
28.979836,29.659691,BbMin7
29.659691,30.347737,BMaj7
30.347737,31.822121,C7
31.822121,32.534739,CMin7
32.542930,33.919022,DbMaj7
33.919022,34.623450,Ab7
34.623450,35.327878,BbMin7
35.327878,36.048688,BMaj7
36.048688,38.219309,C7
38.219309,39.243186,GbMin7
39.243186,42.077280,GbMaj7
42.077280,45.230824,D7
