0.000000,3.735083,GMin7
3.735083,7.463670,FMaj7
7.463670,11.224736,BMin7
11.224736,18.551994,GMin7
18.551994,22.280581,FMaj7
22.280581,25.944210,BMin7
25.944210,29.646814,GMin7
29.646814,33.414376,Gb7
33.414376,37.123476,GMaj7
37.123476,40.865054,Gb7
40.865054,44.583226,GMaj7
44.583226,48.395905,EMin7
48.395905,52.159424,BMin7
52.159424,55.961180,EMin7
55.961180,59.768397,BMin7
59.768397,63.575614,AMin7
63.575614,67.279048,BbMaj7
67.279048,71.026180,AMin7
71.026180,74.795162,EMin7
74.795162,78.536832,CMin7
78.536832,82.245728,B7
82.245728,85.998322,AbMaj7
85.998322,89.827389,G7
89.827389,93.623681,FMin7
93.623681,97.332578,EbMaj7
97.332578,101.014162,FMin7
101.014162,104.766757,EbMaj7
104.766757,108.502964,AbMaj7
108.502964,112.250097,G7
112.250097,116.035465,FMin7
116.035465,119.766210,Db7
