0.000000,0.729001,A7
0.729001,1.449811,BMin7
1.449811,2.105093,CMaj7
2.105093,4.292096,Db7
4.292096,5.692760,BbMin7
5.692760,6.380806,A7
6.380806,7.077043,GMin7
7.077043,7.748707,CMaj7
7.748707,9.223091,Db7
9.223091,9.919328,DbMin7
9.919328,11.311801,DMaj7
11.311801,12.040802,A7
12.040802,12.737039,BMin7
12.737039,13.441467,CMaj7
13.441467,15.603897,Db7
15.603897,16.676921,AbMin7
16.676921,19.527396,GMaj7
19.527396,22.615412,Eb7
22.615412,23.328031,A7
23.328031,24.040650,BMin7
24.040650,24.704122,CMaj7
24.704122,26.866552,Db7
26.866552,28.275408,AbMin7
28.275408,28.979836,A7
28.979836,29.659691,BMin7
29.659691,30.347737,CMaj7
30.347737,31.822121,Db7
31.822121,32.534739,DbMin7
32.542930,33.919022,DMaj7
33.919022,34.623450,A7
34.623450,35.327878,BMin7
35.327878,36.048688,CMaj7
36.048688,38.219309,Db7
38.219309,39.243186,GMin7
39.243186,42.077280,GMaj7
42.077280,45.230824,Eb7
