0.000000,3.735083,AbMin7
3.735083,7.463670,GbMaj7
7.463670,11.224736,CMin7
11.224736,18.551994,AbMin7
18.551994,22.280581,GbMaj7
22.280581,25.944210,CMin7
25.944210,29.646814,AbMin7
29.646814,33.414376,G7
33.414376,37.123476,AbMaj7
37.123476,40.865054,G7
40.865054,44.583226,AbMaj7
44.583226,48.395905,FMin7
48.395905,52.159424,CMin7
52.159424,55.961180,FMin7
55.961180,59.768397,CMin7
59.768397,63.575614,BbMin7
63.575614,67.279048,BMaj7
67.279048,71.026180,BbMin7
71.026180,74.795162,FMin7
74.795162,78.536832,DbMin7
78.536832,82.245728,C7
82.245728,85.998322,AMaj7
85.998322,89.827389,Ab7
89.827389,93.623681,GbMin7
93.623681,97.332578,EMaj7
97.332578,101.014162,GbMin7
101.014162,104.766757,EMaj7
104.766757,108.502964,AMaj7
108.502964,112.250097,Ab7
112.250097,116.035465,GbMin7
116.035465,119.766210,D7
